"","POS_mm","RghtLft","SECTION","volume","volume D","volume V","index","index D","index V","mb","set","src","position"
"5325",23.8,"left","medial",2e-04,1e-04,0,0.5689,1.0163,0.1215,"MB23",1,"MB23-1","left medial"
"1706",23.8,"left","medial",0.0020875,5.025e-05,0.0037985,4.84,2,7.6799,"MB14",1,"MB14-1","left medial"
"4075",23.8,"left","proximal",6e-04,1e-04,0.0013,1.7567,0.5365,2.9769,"MB21",1,"MB21-1","left proximal"
"676",23.8,"left","proximal",0.0019,0.0018,1e-04,5.0747,10,0.1494,"MB12",1,"MB12-1","left proximal"
"4364",23.8,"left","proximal",0.0028,0.0019,0.001,4.142,6.582,1.702,"MB21",2,"MB21-2","left proximal"
"3785",23.8,"left","proximal",0.00029025,5.275e-05,0.00034925,1.2471,1,1.4943,"MB19",2,"MB19-2","left proximal"
"2318",23.8,"left","proximal",0,0,0,0,0,0,"MB17",1,"MB17-1","left proximal"
"3486",23.8,"right","distal",0.00015275,5.45e-05,0.0001065,1.8535,2.042,1.665,"MB19",1,"MB19-1","right distal"
"1426",23.8,"right","distal",0.0022975,0.0011755,0.00112175,5.4668,6.0532,4.8803,"MB13",2,"MB13-2","right distal"
"1138",23.8,"right","distal",0,0,0,0,0,0,"MB13",1,"MB13-1","right distal"
"4972",23.8,"right","medial",7.05e-05,2.85e-05,5.175e-05,0.5247,0.3858,0.6636,"MB22",2,"MB22-2","right medial"
"3165",23.8,"right","medial",0.00038,0.000125,0.000466,3.4428,0.7706,6.1149,"MB18",2,"MB18-2","right medial"
"2840",23.8,"right","medial",0.0007315,0.00029025,5e-04,2.613,0.952,4.274,"MB18",1,"MB18-1","right medial"
"4614",23.8,"right","medial",0.003486,0.00148325,0.0034845,5.2783,4.1991,6.3576,"MB22",1,"MB22-1","right medial"
"2577",23.8,"right","proximal",0.000427,6.725e-05,0.0004615,0.954,1.0674,0.8407,"MB17",2,"MB17-2","right proximal"
"2039",23.8,"right","proximal",0.00331375,0.00033025,0.00322025,4.8082,0.5218,9.1037,"MB14",2,"MB14-2","right proximal"
"3487",23.9,"left","distal",0.00020925,0.0001215,9.55e-05,0.9393,1.5155,0.363,"MB19",1,"MB19-1","left distal"
"1139",23.9,"left","distal",0,0,0,0,0,0,"MB13",1,"MB13-1","left distal"
"1427",23.9,"left","distal",0,0,0,0,0,0,"MB13",2,"MB13-2","left distal"
"4973",23.9,"left","medial",0.00010625,3.575e-05,9.675e-05,1.1651,1.0346,1.2956,"MB22",2,"MB22-2","left medial"
